"","FDP","FDS","EIP","EDC","LUM","DI","PI","FDP_1","FDS_1","EIP_1","EDC_1","LUM_1","DI_1","PI_1","FDP_2","FDS_2","EIP_2","EDC_2","LUM_2","DI_2","PI_2","FDP_3","FDS_3","EIP_3","EDC_3","LUM_3","DI_3","PI_3","FDP_4","FDS_4","EIP_4","EDC_4","LUM_4","DI_4","PI_4","FDP_5","FDS_5","EIP_5","EDC_5","LUM_5","DI_5","PI_5","FDP_6","FDS_6","EIP_6","EDC_6","LUM_6","DI_6","PI_6","dir","rhs"
"Fx","6.7","17","-0.27","-0.76","-1.2","0.4","-1.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0"
"Fy","2.3","4.4","0.61","0.16","-0.19","-3.9","4.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0"
"Fz","0.88","-1.1","1.1","2.7","-2.6","-2.5","-8.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","-1"
"tx","-0.039","0.18","0.0043","0.018","-0.019","0.014","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0"
"Fx_1","0","0","0","0","0","0","0","6.7","17","-0.27","-0.76","-1.2","0.4","-1.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0.130526192220052"
"Fy_1","0","0","0","0","0","0","0","2.3","4.4","0.61","0.16","-0.19","-3.9","4.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0"
"Fz_1","0","0","0","0","0","0","0","0.88","-1.1","1.1","2.7","-2.6","-2.5","-8.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","-0.99144486137381"
"tx_1","0","0","0","0","0","0","0","-0.039","0.18","0.0043","0.018","-0.019","0.014","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0"
"lb_FDP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7","17","-0.27","-0.76","-1.2","0.4","-1.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0.38268343236509"
"lb_FDS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3","4.4","0.61","0.16","-0.19","-3.9","4.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","=","0"
