"time","lambda","dorsal_fx","medial_fy","proximal_fz","JR3_MX","JR3_MY","JR3_MZ"
0,0,0,0,0,0,0,0
0.001,0.000249205436913091,0,0,-0.000249205436913091,0,0,0
0.002,0.000996573334253292,0,0,-0.000996573334253292,0,0,0
0.003,0.00224135869944703,0,0,-0.00224135869944703,0,0,0
0.004,0.00398232070337112,0,0,-0.00398232070337112,0,0,0
0.005,0.00621772391723813,0,0,-0.00621772391723813,0,0,0
0.006,0.0089453400425098,0,0,-0.0089453400425098,0,0,0
0.007,0.0121624501321132,0,0,-0.0121624501321132,0,0,0
0.008,0.0158658473007464,0,0,-0.0158658473007464,0,0,0
0.009,0.0200518399215715,0,0,-0.0200518399215715,0,0,0
0.01,0.0247162553061085,0,0,-0.0247162553061085,0,0,0
0.011,0.0298544438636622,0,0,-0.0298544438636622,0,0,0
0.012,0.0354612837361347,0,0,-0.0354612837361347,0,0,0
0.013,0.0415311859036056,0,0,-0.0415311859036056,0,0,0
0.014,0.0480580997555882,0,0,-0.0480580997555882,0,0,0
0.015,0.0550355191224098,0,0,-0.0550355191224098,0,0,0
0.016,0.0624564887607031,0,0,-0.0624564887607031,0,0,0
0.017,0.070313611286544,0,0,-0.070313611286544,0,0,0
0.018,0.0785990545493247,0,0,-0.0785990545493247,0,0,0
0.019,0.0873045594390119,0,0,-0.0873045594390119,0,0,0
0.02,0.0964214481190073,0,0,-0.0964214481190073,0,0,0
0.021,0.105940632676404,0,0,-0.105940632676404,0,0,0
0.022,0.115852624181015,0,0,-0.115852624181015,0,0,0
0.023,0.126147542144145,0,0,-0.126147542144145,0,0,0
0.024,0.13681512436768,0,0,-0.13681512436768,0,0,0
0.025,0.147844737173664,0,0,-0.147844737173664,0,0,0
0.026,0.159225386004183,0,0,-0.159225386004183,0,0,0
0.027,0.170945726380981,0,0,-0.170945726380981,0,0,0
0.028,0.182994075213881,0,0,-0.182994075213881,0,0,0
0.029,0.195358422446742,0,0,-0.195358422446742,0,0,0
0.03,0.208026443029347,0,0,-0.208026443029347,0,0,0
0.031,0.22098550920328,0,0,-0.22098550920328,0,0,0
0.032,0.234222703089549,0,0,-0.234222703089549,0,0,0
0.033,0.247724829565411,0,0,-0.247724829565411,0,0,0
0.034,0.261478429417555,0,0,-0.261478429417555,0,0,0
0.035,0.27546979275854,0,0,-0.27546979275854,0,0,0
0.036,0.289684972693108,0,0,-0.289684972693108,0,0,0
0.037,0.304109799220753,0,0,-0.304109799220753,0,0,0
0.038,0.318729893360688,0,0,-0.318729893360688,0,0,0
0.039,0.333530681485119,0,0,-0.333530681485119,0,0,0
0.04,0.348497409846564,0,0,-0.348497409846564,0,0,0
0.041,0.363615159284698,0,0,-0.363615159284698,0,0,0
0.042,0.378868860098108,0,0,-0.378868860098108,0,0,0
0.043,0.39424330706609,0,0,-0.39424330706609,0,0,0
0.044,0.409723174605549,0,0,-0.409723174605549,0,0,0
0.045,0.42529303204787,0,0,-0.42529303204787,0,0,0
0.046,0.440937359020546,0,0,-0.440937359020546,0,0,0
0.047,0.456640560918225,0,0,-0.456640560918225,0,0,0
0.048,0.472386984447746,0,0,-0.472386984447746,0,0,0
0.049,0.488160933231688,0,0,-0.488160933231688,0,0,0
0.05,0.503946683454857,0,0,-0.503946683454857,0,0,0
0.051,0.519728499538126,0,0,-0.519728499538126,0,0,0
0.052,0.535490649824008,0,0,-0.535490649824008,0,0,0
0.053,0.551217422258307,0,0,-0.551217422258307,0,0,0
0.054,0.56689314005224,0,0,-0.56689314005224,0,0,0
0.055,0.5825021773094,0,0,-0.5825021773094,0,0,0
0.056,0.598028974601989,0,0,-0.598028974601989,0,0,0
0.057,0.613458054480795,0,0,-0.613458054480795,0,0,0
0.058,0.628774036903448,0,0,-0.628774036903448,0,0,0
0.059,0.643961654565583,0,0,-0.643961654565583,0,0,0
0.06,0.659005768119619,0,0,-0.659005768119619,0,0,0
0.061,0.673891381265991,0,0,-0.673891381265991,0,0,0
0.062,0.688603655701788,0,0,-0.688603655701788,0,0,0
0.063,0.703127925911895,0,0,-0.703127925911895,0,0,0
0.064,0.717449713787896,0,0,-0.717449713787896,0,0,0
0.065,0.731554743060174,0,0,-0.731554743060174,0,0,0
0.066,0.745428953528797,0,0,-0.745428953528797,0,0,0
0.067,0.759058515079039,0,0,-0.759058515079039,0,0,0
0.068,0.772429841467535,0,0,-0.772429841467535,0,0,0
0.069,0.785529603865347,0,0,-0.785529603865347,0,0,0
0.07,0.798344744144428,0,0,-0.798344744144428,0,0,0
0.071,0.810862487894248,0,0,-0.810862487894248,0,0,0
0.072,0.823070357155605,0,0,-0.823070357155605,0,0,0
0.073,0.834956182858928,0,0,-0.834956182858928,0,0,0
0.074,0.846508116954666,0,0,-0.846508116954666,0,0,0
0.075,0.857714644223686,0,0,-0.857714644223686,0,0,0
0.076,0.868564593755889,0,0,-0.868564593755889,0,0,0
0.077,0.879047150085623,0,0,-0.879047150085623,0,0,0
0.078,0.889151863972765,0,0,-0.889151863972765,0,0,0
0.079,0.89886866281876,0,0,-0.89886866281876,0,0,0
0.08,0.9081878607072,0,0,-0.9081878607072,0,0,0
0.081,0.917100168058959,0,0,-0.917100168058959,0,0,0
0.082,0.925596700892247,0,0,-0.925596700892247,0,0,0
0.083,0.933668989678357,0,0,-0.933668989678357,0,0,0
0.084,0.941308987784274,0,0,-0.941308987784274,0,0,0
0.085,0.948509079493732,0,0,-0.948509079493732,0,0,0
0.086,0.955262087598731,0,0,-0.955262087598731,0,0,0
0.087,0.96156128055393,0,0,-0.96156128055393,0,0,0
0.088,0.967400379186799,0,0,-0.967400379186799,0,0,0
0.089,0.972773562956833,0,0,-0.972773562956833,0,0,0
0.09,0.977675475757597,0,0,-0.977675475757597,0,0,0
0.091,0.982101231255806,0,0,-0.982101231255806,0,0,0
0.092,0.986046417762128,0,0,-0.986046417762128,0,0,0
0.093,0.989507102628857,0,0,-0.989507102628857,0,0,0
0.094,0.992479836170055,0,0,-0.992479836170055,0,0,0
0.095,0.994961655100279,0,0,-0.994961655100279,0,0,0
0.096,0.996950085488444,0,0,-0.996950085488444,0,0,0
0.097,0.998443145223897,0,0,-0.998443145223897,0,0,0
0.098,0.999439345992222,0,0,-0.999439345992222,0,0,0
0.099,0.999937694758829,0,0,-0.999937694758829,0,0,0
0.1,0.999937694758829,0,0,-0.999937694758829,0,0,0
0.101,0.999439345992222,0,0,-0.999439345992222,0,0,0
0.102,0.998443145223897,0,0,-0.998443145223897,0,0,0
0.103,0.996950085488444,0,0,-0.996950085488444,0,0,0
0.104,0.994961655100279,0,0,-0.994961655100279,0,0,0
0.105,0.992479836170055,0,0,-0.992479836170055,0,0,0
0.106,0.989507102628857,0,0,-0.989507102628857,0,0,0
0.107,0.986046417762128,0,0,-0.986046417762128,0,0,0
0.108,0.982101231255806,0,0,-0.982101231255806,0,0,0
0.109,0.977675475757597,0,0,-0.977675475757597,0,0,0
0.11,0.972773562956833,0,0,-0.972773562956833,0,0,0
0.111,0.967400379186799,0,0,-0.967400379186799,0,0,0
0.112,0.96156128055393,0,0,-0.96156128055393,0,0,0
0.113,0.955262087598731,0,0,-0.955262087598731,0,0,0
0.114,0.948509079493732,0,0,-0.948509079493732,0,0,0
0.115,0.941308987784273,0,0,-0.941308987784273,0,0,0
0.116,0.933668989678357,0,0,-0.933668989678357,0,0,0
0.117,0.925596700892247,0,0,-0.925596700892247,0,0,0
0.118,0.917100168058959,0,0,-0.917100168058959,0,0,0
0.119,0.9081878607072,0,0,-0.9081878607072,0,0,0
0.12,0.89886866281876,0,0,-0.89886866281876,0,0,0
0.121,0.889151863972765,0,0,-0.889151863972765,0,0,0
0.122,0.879047150085623,0,0,-0.879047150085623,0,0,0
