"time","lambda","dorsal_fx","medial_fy","proximal_fz","JR3_MX","JR3_MY","JR3_MZ"
0,0,0,0,-1,0,0,0
0.001,0.000249205436913091,-0.000391450974923143,0,-0.999999923383064,0,0,0
0.002,0.000996573334253292,-0.00156541309348058,0,-0.999998774740173,0,0,0
0.003,0.00224135869944703,-0.00352071073864188,0,-0.999993802278742,0,0,0
0.004,0.00398232070337112,-0.00625537393710213,0,-0.999980434957058,0,0,0
0.005,0.00621772391723813,-0.00976662261555333,0,-0.999952305403955,0,0,0
0.006,0.0089453400425098,-0.0140508449053739,0,-0.999901282006101,0,0,0
0.007,0.0121624501321132,-0.0191035698383722,0,-0.999817510158444,0,0,0
0.008,0.0158658473007464,-0.0249194348694281,0,-0.999689462666176,0,0,0
0.009,0.0200518399215715,-0.0314921487515155,0,-0.999503999275147,0,0,0
0.01,0.0247162553061085,-0.0388144503738577,0,-0.999246435291202,0,0,0
0.011,0.0298544438636622,-0.0468780642539944,0,-0.998900619226857,0,0,0
0.012,0.0354612837361347,-0.055673653448494,0,-0.998449019385415,0,0,0
0.013,0.0415311859036056,-0.0651907707140436,0,-0.9978728192579,0,0,0
0.014,0.0480580997555882,-0.0754178088098247,0,-0.997152021566584,0,0,0
0.015,0.0550355191224098,-0.0863419508825774,0,-0.996265560740604,0,0,0
0.016,0.0624564887607031,-0.0979491219167214,0,-0.995191423554154,0,0,0
0.017,0.070313611286544,-0.110223942262514,0,-0.993906777596425,0,0,0
0.018,0.0785990545493247,-0.123149684274735,0,-0.992388107175329,0,0,0
0.019,0.0873045594390119,-0.136708233102078,0,-0.990611356184709,0,0,0
0.02,0.0964214481190073,-0.150880052662679,0,-0.988552077388191,0,0,0
0.021,0.105940632676404,-0.165644157823525,0,-0.986185587493011,0,0,0
0.022,0.115852624181015,-0.180978093770468,0,-0.983487127305288,0,0,0
0.023,0.126147542144145,-0.196857923510926,0,-0.980432026175689,0,0,0
0.024,0.13681512436768,-0.213258224393122,0,-0.976995869862659,0,0,0
0.025,0.147844737173664,-0.230152094453816,0,-0.973154670860969,0,0,0
0.026,0.159225386004183,-0.247511169321428,0,-0.968885040167893,0,0,0
0.027,0.170945726380981,-0.265305650303521,0,-0.964164359389532,0,0,0
0.028,0.182994075213881,-0.283504344177723,0,-0.958970952027411,0,0,0
0.029,0.195358422446742,-0.302074715084156,0,-0.95328425273201,0,0,0
0.03,0.208026443029347,-0.320982948786453,0,-0.947084973267105,0,0,0
0.031,0.22098550920328,-0.340194029429007,0,-0.940355263898095,0,0,0
0.032,0.234222703089549,-0.359671828771605,0,-0.933078868900207,0,0,0
0.033,0.247724829565411,-0.379379207731029,0,-0.925241274879897,0,0,0
0.034,0.261478429417555,-0.399278129904329,0,-0.916829850615752,0,0,0
0.035,0.27546979275854,-0.419329786592571,0,-0.90783397715454,0,0,0
0.036,0.289684972693108,-0.439494732688954,0,-0.898245166944229,0,0,0
0.037,0.304109799220753,-0.459733032643702,0,-0.888057170848941,0,0,0
0.038,0.318729893360688,-0.480004415572305,0,-0.877266071970807,0,0,0
0.039,0.333530681485119,-0.500268438435851,0,-0.865870365300115,0,0,0
0.04,0.348497409846564,-0.520484656094567,0,-0.853871022327214,0,0,0
0.041,0.363615159284698,-0.540612796920516,0,-0.841271539876262,0,0,0
0.042,0.378868860098108,-0.56061294255457,0,-0.828077972560741,0,0,0
0.043,0.39424330706609,-0.58044571030822,0,-0.814298948411937,0,0,0
0.044,0.409723174605549,-0.600072436644056,0,-0.799945667392521,0,0,0
0.045,0.42529303204787,-0.619455360121125,0,-0.785031882675607,0,0,0
0.046,0.440937359020546,-0.638557802163987,0,-0.769573864743014,0,0,0
0.047,0.456640560918225,-0.657344344007712,0,-0.753590348532325,0,0,0
0.048,0.472386984447746,-0.675780998185758,0,-0.737102464038115,0,0,0
0.049,0.488160933231688,-0.693835372963544,0,-0.720133650945809,0,0,0
0.05,0.503946683454857,-0.711476828177253,0,-0.702709558044314,0,0,0
0.051,0.519728499538126,-0.72867662101424,0,-0.684857928323291,0,0,0
0.052,0.535490649824008,-0.745408040367219,0,-0.666608470810192,0,0,0
0.053,0.551217422258307,-0.761646528507854,0,-0.647992720338689,0,0,0
0.054,0.56689314005224,-0.777369788954647,0,-0.629043886561667,0,0,0
0.055,0.5825021773094,-0.792557879553156,0,-0.609796693626822,0,0,0
0.056,0.598028974601989,-0.8071932899414,0,-0.590287212019351,0,0,0
0.057,0.613458054480795,-0.821261002737297,0,-0.57055268414313,0,0,0
0.058,0.628774036903448,-0.834748537955722,0,-0.550631345258136,0,0,0
0.059,0.643961654565583,-0.847645980337527,0,-0.53056224141719,0,0,0
0.06,0.659005768119619,-0.859945989449015,0,-0.510385046049113,0,0,0
0.061,0.673891381265991,-0.871643792585288,0,-0.490139876818379,0,0,0
0.062,0.688603655701788,-0.882737160682014,0,-0.469867114353682,0,0,0
0.063,0.703127925911895,-0.893226367604993,0,-0.449607224380558,0,0,0
0.064,0.717449713787896,-0.903114133343287,0,-0.429400584717351,0,0,0
0.065,0.731554743060174,-0.912405551777467,0,-0.409287318500898,0,0,0
0.066,0.745428953528797,-0.921108003827933,0,-0.389307134900094,0,0,0
0.067,0.759058515079039,-0.92923105690778,0,-0.369499178453823,0,0,0
0.068,0.772429841467535,-0.936786351709042,0,-0.349901888036723,0,0,0
0.069,0.785529603865347,-0.943787477439431,0,-0.330552866314173,0,0,0
0.07,0.798344744144428,-0.950249836698308,0,-0.311488760398892,0,0,0
0.071,0.810862487894248,-0.956190501235263,0,-0.292745154268104,0,0,0
0.072,0.823070357155605,-0.961628059872411,0,-0.274356473344485,0,0,0
0.073,0.834956182858928,-0.966582459892595,0,-0.256355901488496,0,0,0
0.074,0.846508116954666,-0.971074843200795,0,-0.238775310496187,0,0,0
0.075,0.857714644223686,-0.975127378555949,0,-0.221645202047333,0,0,0
0.076,0.868564593755889,-0.978763091146285,0,-0.204994661905544,0,0,0
0.077,0.879047150085623,-0.982005690744308,0,-0.188851326036631,0,0,0
0.078,0.889151863972765,-0.984879399629265,0,-0.173241358185331,0,0,0
0.079,0.89886866281876,-0.987408781406812,0,-0.158189438334913,0,0,0
0.08,0.9081878607072,-0.989618571789264,0,-0.143718761370175,0,0,0
0.081,0.917100168058959,-0.99153351232701,0,-0.129851045172778,0,0,0
0.082,0.925596700892247,-0.993178188004011,0,-0.116606547299327,0,0,0
0.083,0.933668989678357,-0.994576869529525,0,-0.104004089327538,0,0,0
0.084,0.941308987784274,-0.995753361075857,0,-0.092061087904355,0,0,0
0.085,0.948509079493732,-0.99673085412954,0,-0.0807935914921294,0,0,0
0.086,0.955262087598731,-0.997531788042387,0,-0.070216321784602,0,0,0
0.087,0.96156128055393,-0.998177717790504,0,-0.0603427187533087,0,0,0
0.088,0.967400379186799,-0.998689189374805,0,-0.0511849882865522,0,0,0
0.089,0.972773562956833,-0.999085623226729,0,-0.0427541513967707,0,0,0
0.09,0.977675475757597,-0.999385205918569,0,-0.0350600939972861,0,0,0
0.091,0.982101231255806,-0.999604790419608,0,-0.0281116162853042,0,0,0
0.092,0.986046417762128,-0.99975980508757,0,-0.0219164808138733,0,0,0
0.093,0.989507102628857,-0.999864171539977,0,-0.0164814583904442,0,0,0
0.094,0.992479836170055,-0.999930231511824,0,-0.0118123710028842,0,0,0
0.095,0.994961655100279,-0.999968682774522,0,-0.00791413104436449,0,0,0
0.096,0.996950085488444,-0.999988524165922,0,-0.00479077618565594,0,0,0
0.097,0.998443145223897,-0.999997009762052,0,-0.00244549932611173,0,0,0
0.098,0.999439345992222,-0.999999612207333,0,-0.00088067314218144,0,0,0
0.099,0.999937694758829,-0.999999995210845,0,-9.78688438159402e-05,0,0,0
0.1,0.999937694758829,-0.999999995210845,0,-9.78688438159402e-05,0,0,0
0.101,0.999439345992222,-0.999999612207333,0,-0.00088067314218144,0,0,0
0.102,0.998443145223897,-0.999997009762052,0,-0.00244549932611173,0,0,0
0.103,0.996950085488444,-0.999988524165922,0,-0.00479077618565594,0,0,0
0.104,0.994961655100279,-0.999968682774522,0,-0.00791413104436449,0,0,0
0.105,0.992479836170055,-0.999930231511824,0,-0.0118123710028842,0,0,0
0.106,0.989507102628857,-0.999864171539977,0,-0.016481458390444,0,0,0
0.107,0.986046417762128,-0.99975980508757,0,-0.0219164808138733,0,0,0
0.108,0.982101231255806,-0.999604790419608,0,-0.028111616285304,0,0,0
0.109,0.977675475757597,-0.999385205918569,0,-0.0350600939972861,0,0,0
0.11,0.972773562956833,-0.999085623226729,0,-0.0427541513967707,0,0,0
0.111,0.967400379186799,-0.998689189374805,0,-0.0511849882865522,0,0,0
0.112,0.96156128055393,-0.998177717790504,0,-0.0603427187533084,0,0,0
0.113,0.955262087598731,-0.997531788042387,0,-0.070216321784602,0,0,0
0.114,0.948509079493732,-0.99673085412954,0,-0.0807935914921292,0,0,0
0.115,0.941308987784273,-0.995753361075857,0,-0.092061087904355,0,0,0
0.116,0.933668989678357,-0.994576869529525,0,-0.104004089327538,0,0,0
0.117,0.925596700892247,-0.993178188004011,0,-0.116606547299327,0,0,0
0.118,0.917100168058959,-0.99153351232701,0,-0.129851045172778,0,0,0
0.119,0.9081878607072,-0.989618571789264,0,-0.143718761370175,0,0,0
0.12,0.89886866281876,-0.987408781406812,0,-0.158189438334913,0,0,0
0.121,0.889151863972765,-0.984879399629265,0,-0.173241358185331,0,0,0
0.122,0.879047150085623,-0.982005690744308,0,-0.188851326036631,0,0,0
0.123,0.868564593755889,-0.978763091146285,0,-0.204994661905544,0,0,0
0.124,0.857714644223686,-0.975127378555949,0,-0.221645202047333,0,0,0
0.125,0.846508116954666,-0.971074843200795,0,-0.238775310496187,0,0,0
0.126,0.834956182858928,-0.966582459892595,0,-0.256355901488496,0,0,0
0.127,0.823070357155605,-0.961628059872411,0,-0.274356473344484,0,0,0
0.128,0.810862487894248,-0.956190501235264,0,-0.292745154268103,0,0,0
0.129,0.798344744144428,-0.950249836698308,0,-0.311488760398892,0,0,0
0.13,0.785529603865347,-0.943787477439431,0,-0.330552866314173,0,0,0
0.131,0.772429841467535,-0.936786351709042,0,-0.349901888036723,0,0,0
0.132,0.759058515079039,-0.92923105690778,0,-0.369499178453823,0,0,0
0.133,0.745428953528797,-0.921108003827933,0,-0.389307134900094,0,0,0
0.134,0.731554743060174,-0.912405551777467,0,-0.409287318500898,0,0,0
0.135,0.717449713787897,-0.903114133343287,0,-0.429400584717351,0,0,0
0.136,0.703127925911894,-0.893226367604993,0,-0.449607224380558,0,0,0
0.137,0.688603655701788,-0.882737160682015,0,-0.469867114353681,0,0,0
0.138,0.673891381265991,-0.871643792585288,0,-0.490139876818379,0,0,0
0.139,0.659005768119619,-0.859945989449015,0,-0.510385046049113,0,0,0
0.14,0.643961654565583,-0.847645980337527,0,-0.53056224141719,0,0,0
0.141,0.628774036903448,-0.834748537955722,0,-0.550631345258137,0,0,0
0.142,0.613458054480795,-0.821261002737297,0,-0.57055268414313,0,0,0
0.143,0.598028974601989,-0.8071932899414,0,-0.590287212019351,0,0,0
0.144,0.582502177309399,-0.792557879553156,0,-0.609796693626822,0,0,0
0.145,0.56689314005224,-0.777369788954647,0,-0.629043886561667,0,0,0
0.146,0.551217422258306,-0.761646528507854,0,-0.64799272033869,0,0,0
0.147,0.535490649824008,-0.745408040367219,0,-0.666608470810192,0,0,0
0.148,0.519728499538126,-0.72867662101424,0,-0.684857928323291,0,0,0
0.149,0.503946683454857,-0.711476828177253,0,-0.702709558044314,0,0,0
0.15,0.488160933231688,-0.693835372963544,0,-0.720133650945809,0,0,0
0.151,0.472386984447746,-0.675780998185758,0,-0.737102464038115,0,0,0
0.152,0.456640560918225,-0.657344344007712,0,-0.753590348532325,0,0,0
0.153,0.440937359020546,-0.638557802163987,0,-0.769573864743014,0,0,0
0.154,0.42529303204787,-0.619455360121125,0,-0.785031882675606,0,0,0
0.155,0.409723174605549,-0.600072436644056,0,-0.799945667392521,0,0,0
0.156,0.39424330706609,-0.58044571030822,0,-0.814298948411937,0,0,0
0.157,0.378868860098109,-0.56061294255457,0,-0.82807797256074,0,0,0
0.158,0.363615159284698,-0.540612796920516,0,-0.841271539876262,0,0,0
0.159,0.348497409846564,-0.520484656094567,0,-0.853871022327213,0,0,0
0.16,0.333530681485119,-0.500268438435851,0,-0.865870365300115,0,0,0
0.161,0.318729893360688,-0.480004415572305,0,-0.877266071970808,0,0,0
0.162,0.304109799220754,-0.459733032643702,0,-0.888057170848941,0,0,0
0.163,0.289684972693108,-0.439494732688954,0,-0.898245166944229,0,0,0
0.164,0.27546979275854,-0.419329786592571,0,-0.90783397715454,0,0,0
0.165,0.261478429417555,-0.399278129904329,0,-0.916829850615752,0,0,0
